hex,coco,mard,available
FFFFFF,A01,H2,True
FFFFFF,A02,H1,True
FFFDF0,A03,H18,False
FFF5ED,A04,H12,False
F6EFE2,A05,H19,False
F5ECD2,A06,H13,False
F1EDED,A07,H17,False
EDEDED,A08,H9,False
E7D6DB,A09,H8,False
EEE9EA,A10,H10,False
FFFBE1,A11,H21,False
CACAD4,A12,H22,False
CECDD5,B01,H11,False
CFD7D3,B02,H14,False
B6B1BA,B03,H3,True
98A6A8,B04,H15,False
89858C,B05,H4,True
48464E,B06,H5,True
2F2B2F,B07,H6,True
1D1414,B08,H16,False
000000,B09,H7,True
949FA3,B10,H20,False
9A9D94,B11,H23,False
FD4E6A,C01,F12,True
FC3D46,C02,F2,True
F74941,C03,F3,True
F35744,C04,F13,True
FD543D,C05,A14,True
FC283C,C06,F4,True
E7002F,C07,F5,True
D30022,C08,F15,False
BC0028,C09,F8,True
971937,C10,F7,True
FFDD99,D01,A11,True
FEBE7D,D02,A18,False
F4D738,D03,A5,False
FFC365,D04,A13,True
FEAC4C,D05,A6,True
FF995B,D06,A9,False
F77C31,D07,A10,True
FE8B4C,D08,A7,True
FFFFD5,E01,A2,False
FAF4C8,E02,A1,False
FFFF9F,E03,A16,False
FFF365,E04,A15,False
FEFF8B,E05,A3,True
FFE36E,E06,A17,False
FBED56,E07,A4,True
FFDA45,E08,A8,False
FFD568,E09,A20,False
FFE395,E10,A21,False
F4F57D,E11,A22,False
E6C9B7,E12,A23,False
F7F8A2,E13,A24,False
FFD67D,E14,A25,False
FFC830,E15,A26,False
EEFCA5,F01,B24,False
CAEB7B,F02,B13,False
C5ED9C,F03,B16,False
9EF780,F04,B3,True
E6EE31,F05,B1,False
ADE946,F06,B14,True
2E5132,F15,B15,False
E6EE49,F07,B18,True
5DE035,F09,B4,False
63F347,F08,B2,False
303A21,F17,B23,False
166F41,F12,B12,True
9BB13A,F13,B17,True
5D722A,F14,B11,False
35E352,F10,B5,True
1C9C4F,F11,B8,True
27523A,F16,B9,False
4E846D,F18,B25,False
8D7A35,F19,B26,False
CCE1AF,F20,B27,False
9EE5B9,F21,B28,False
C5E254,F22,B29,False
E2FCB1,F23,B30,False
B0E792,F24,B31,False
9CAB5A,F25,B32,False
E8FFE7,G01,C1,False
C2F0CC,G02,B20,True
95D3C2,G03,B10,True
65E2A6,G04,B6,False
3DAF80,G05,B7,True
24B88C,G06,B19,True
156A6B,G07,B21,False
0B3C43,G08,B22,False
DAABB3,GB1,-,False
D6AA87,GB2,-,False
C1BD8D,GB3,-,False
96B69F,GB4,-,False
849DC6,GB5,-,False
94BFE2,GB6,-,False
E2A9D2,GB7,-,False
AB91C0,GB8,-,False
CDE8FF,H01,C13,True
D5FDFF,H02,C14,False
A9F9FC,H03,C2,True
A0E2FB,H04,C3,True
41CCFF,H05,C4,False
BEDDFF,H06,C21,False
1557A8,H18,C16,True
50AAF0,H08,C6,True
3EBCE2,H09,C10,True
28DDDE,H10,C11,True
22C4C6,H11,C15,False
1887A2,H12,C19,False
3677D2,H13,C7,True
0F54C0,H14,C8,True
01ACEB,H07,C5,True
324BCA,H16,C9,False
176DAF,H17,C20,False
2F54AF,H15,D3,True
04D1F6,H19,C17,False
182A84,H20,D4,False
333A95,H21,D22,False
2F1F90,H22,D15,True
1C334D,H23,C12,False
1D3344,H24,C18,False
67B4BE,H25,C22,False
C8E2FF,H26,C23,False
7CC4FF,H27,C24,False
A9E5E5,H28,C25,False
3CAED8,H29,C26,False
D3DFFA,H30,C27,False
BBCFED,H31,C28,False
34488E,H32,C29,False
E3E1EE,J01,D16,True
EBDAFC,J02,D23,False
E2D3FF,J03,D8,True
D5B9F8,J04,D9,False
C4D4F6,J05,D17,False
B9BAE1,J06,D11,True
AEB4F2,J07,D1,False
858EDD,J08,D2,True
D8C3D7,J09,D19,True
DE9AD4,J10,D12,True
AC7BDE,J11,D6,False
B843C5,J12,D5,True
A45EC7,J13,D18,True
B90095,J14,D13,True
8854B3,J15,D7,False
8B279B,J16,D14,True
9C32B2,J17,D20,True
9A009B,J18,D21,True
361B51,J19,D10,False
7786E5,J20,D24,False
494FC7,J21,D25,False
DFC2F8,J22,D26,False
FFF3EB,K01,E16,False
FCDDD2,K02,E11,True
FDD3CC,K03,E1,True
F8C7C9,K04,E15,True
FFD1BA,K05,E14,True
